=== 直引号检查 (ASCII " or ') ===
file,line,issue,context
sections/01-topic-basis.tex,86,straight_double_quote,"现有方法对退化的表征停留在图像级或全局特征级，缺乏对"退化类型—严重程度—空间位置"耦合关系的区域级建模能力。Transformer 类方法虽具备全局上下文建模能力，但其窗口划分策略与退化区域边界往往不对齐，导致在窗口边界引入分割伪影；AiO 方法的提示向量虽能区分不同退化类型，但无法定位退化在空间上的具体分布；基于智能体的方法虽引入动态决策，但感知阶段缺乏对空间区域的精细化分析能力。这一表征粒度的缺失，使得现有方法在面对异质退化时难以实现区域级的差异化处理。"
sections/01-topic-basis.tex,90,straight_double_quote,"现有基于智能体的方法在决策层面存在两大瓶颈：一是工具选择策略多基于贪婪搜索或经验规则，缺乏对"工具链组合—超参数配置—区域特征"的联合优化能力；二是规划与执行之间存在语义鸿沟，协调智能体生成的抽象计划难以精确映射到具体工具的参数配置。这导致恢复策略的选择往往次优，且无法根据区域级退化特征进行自适应调整。"
sections/01-topic-basis.tex,114,straight_double_quote,"本节小结：通过上述选题依据与价值分析，可进一步明确本项目需在"目标可量化、框架可执行、难点可攻关"的前提下展开研究，因此第2节将围绕研究目标、总体框架与重点难点进行系统展开。"
sections/02-goals-framework-challenges.tex,15,straight_double_quote,"本项目总体框架如图~ref{fig:overall-framework}所示，由"空间感知模块—层级规划模块—轻量部署模块"三大核心模块组成。空间感知模块负责将退化图像分割为语义区域并生成空间退化图；层级规划模块基于全局调度器与区域专家的协同架构，对各区域独立规划恢复策略并迭代优化；轻量部署模块通过轨迹蒸馏将多智能体的复杂决策知识压缩为轻量路由网络。三个模块层层递进，形成"感知—决策—执行—蒸馏"的闭环流程。"
sections/02-goals-framework-challenges.tex,17,straight_double_quote,"其中，系统输入为退化图像$mathbf{y}$；模块一输出空间退化图$mathcal{M}$；模块二输出区域修复结果及全图恢复结果$hat{mathbf{x}}$；模块三输出轻量推理模型$Phi_omega$及对应调度参数。三模块在训练阶段通过轨迹数据闭环耦合，在部署阶段形成"轻量网络 + 工具库"的高效执行路径。"
sections/02-goals-framework-challenges.tex,81,straight_double_quote,"现有方法主要基于全图级退化判断，难以刻画复杂场景的空间异质退化。针对这一问题，本研究将构建区域级退化感知机制，实现"退化类型—严重程度—空间位置"的联合建模。"
sections/02-goals-framework-challenges.tex,89,straight_double_quote,"单一静态恢复流程难以兼顾复杂退化下的质量与效率。针对这一问题，本研究将构建"全局调度器 + 区域专家"的两层智能体架构，实现工具链选择与连续参数优化的一体化决策。"
sections/02-goals-framework-challenges.tex,111,straight_double_quote,"1）textbf{难点1（对应目标1）}：如何在零样本条件下准确分割退化区域并量化退化程度。退化导致的模糊边界、噪声纹理和对比度损失会干扰分割质量，造成过分割、分割漂移或边界不准确。拟解决路径：通过"语义分割 + 区域级退化推理 + 一致性约束"联合优化空间退化图质量；引入RobustSAM作为备选分割方案；设置区域置信度门控与候选掩码回退机制，降低分割误差向后续模块的传播。"
sections/03-methodology.tex,3,straight_double_quote,"本节围绕"如何做成"展开，按照技术流程、实施计划与可行性支撑三层推进，重点回答模型如何训练、如何推理、如何规避风险。"
sections/03-methodology.tex,7,straight_double_quote,"本项目的整体研究思路为"感知$to$规划$to$执行$to$蒸馏"。首先构建空间感知模块实现区域级退化分析，然后设计层级智能体进行协同规划与执行，最后通过轨迹蒸馏实现轻量化部署。三个研究内容层层递进、相互依托。具体方法流程如图~ref{fig:method-pipeline}所示。"
